gene_name,Unnamed: 0,ensembl_id,baseMean,log2FC,SE,statistic,pvalue,FDR,-log(adjustedp),category
COA4,13145,ENSG00000181924,1104.155449086169,0.8298952582654864,0.1396306916064562,5.943501738174544,2.789967922713738e-09,9.522488305973803e-09,8.021249551999038,Not Significant
COA5,9525,ENSG00000183513,1522.0368969442875,-0.8295618144363213,0.1157510980388843,-7.166772743336273,7.678633837152841e-13,3.616921886488402e-12,11.441660870456897,Not Significant
COA6,1758,ENSG00000168275,337.71796749310585,-2.3051175500345003,0.172053025565716,-13.397715863787909,6.235273942311115e-41,1.5905797445448665e-39,38.79844455243048,Down
COA7,11122,ENSG00000162377,1068.364159374083,-0.7859438580505237,0.1195203154661566,-6.575818135897334,4.838636732782196e-11,1.9519416419731176e-10,9.709533170761496,Not Significant
COA8,6712,ENSG00000256053,617.3333609524537,-1.2946797817264095,0.1523586498160947,-8.497579778300473,1.935844513874906e-17,1.293956192195455e-16,15.888080426766107,Down
COX10,29130,ENSG00000006695,596.5332591986376,0.3186032607672477,0.1219618463832512,2.612319099909928,0.0089930271566287,0.0138521204745834,1.8584837399626537,Not Significant
COX11,17542,ENSG00000166260,1453.605245258195,-0.754824658136598,0.1563550737392054,-4.827631365488131,1.381665465301653e-06,3.533985697631561e-06,5.451735212455814,Not Significant
COX14,2139,ENSG00000178449,552.7024652094902,-1.9054925860744656,0.1501766045567921,-12.688345110065844,6.862038964881074e-37,1.4388156560428911e-35,34.8419948451821,Down
COX15,3673,ENSG00000014919,1080.524586215599,-0.947159242286189,0.0883600388535529,-10.719316724792323,8.261134904594747e-27,1.0089422545020984e-25,24.99613368933172,Not Significant
COX16,346,ENSG00000133983,306.70017149637494,-4.056536774979407,0.203071639380929,-19.975890219559467,8.927802696934625e-89,1.1544652300119698e-86,85.9376191425574,Down
COX17,19245,ENSG00000138495,626.8974184435982,-0.6852989079428955,0.153929686973508,-4.452025606086228,8.506401914824724e-06,1.983221242440508e-05,4.702628834452575,Not Significant
COX18,25518,ENSG00000163626,710.4765952681195,-0.3579937770476766,0.110203573311974,-3.248477034716797,0.0011602457423675,0.0020401029313755,2.6903479201227958,Not Significant
COX19,36983,ENSG00000240230,839.7097061709477,0.22277318951142,0.1613196853233532,1.3809423757856198,0.1672966791855177,0.2029734288268809,0.692560811688561,Not Significant
COX20,11583,ENSG00000203667,269.01733535028404,1.1402353002937764,0.1773440332509269,6.429510366894832,1.280156290462792e-10,4.958726943141915e-10,9.304629805875395,Up
COX4I1,776,ENSG00000131143,7503.137060967041,-1.865775075616177,0.1125433938643914,-16.578272713761702,1.0006374971143052e-61,5.778584959204117e-60,59.238178497158536,Down
COX4I2,41653,ENSG00000131055,41.06408973930562,-0.2432213625887388,0.3698817452546459,-0.6575651967395485,0.5108175643706672,0.5502947312873802,0.2594046452549372,Not Significant
COX5A,618,ENSG00000178741,1744.150972579619,-2.265655512930984,0.1302948504727892,-17.38868040225537,1.0052206102016712e-67,7.286793861124263e-66,65.13746351622278,Down
COX5B,7227,ENSG00000135940,3147.540428827194,-1.3326603936276264,0.1626957679150587,-8.191118986717528,2.58808567219767e-16,1.606668403392109e-15,14.794073747030687,Down
COX6A1,329,ENSG00000111775,2073.232383572197,-3.2175735341598566,0.1593785711099302,-20.188244327655305,1.2420003998075943e-90,1.6887818163565626e-88,87.77242645586011,Down
COX6A2,17649,ENSG00000156885,3.130547839400896,-2.263726026630553,0.47107985491554,-4.80539764757382,1.5444423334813035e-06,3.926383679639635e-06,5.40600726413269,Down
COX6B1,5449,ENSG00000126267,3185.7645177788245,-1.2482304845804526,0.1344174915105342,-9.286220644004718,1.5986411139987782e-20,1.3161949619493426e-19,18.880679775898724,Down
COX6B2,41498,ENSG00000160471,12.297582185633605,0.2441782198001378,0.3545172436914921,0.6887626036397443,0.4909726726153351,0.530857499849491,0.2750220426371405,Not Significant
COX6C,2251,ENSG00000164919,2653.472512462666,-2.261422237687333,0.1807442439485855,-12.51172479014389,6.441027808603148e-36,1.2833719307274951e-34,33.89164746361384,Down
COX7A1,12255,ENSG00000161281,373.3002976115749,-2.43699648425062,0.392008462722028,-6.216693556380407,5.077399725341981e-10,1.858909946767461e-09,8.730741648726902,Down
COX7A2,4344,ENSG00000112695,2190.4109569550947,-1.7629921383788048,0.1744802026551163,-10.104253156236853,5.289706724097276e-24,5.46270265631689e-23,22.262592438188555,Down
COX7A2L,921,ENSG00000115944,2247.6623315452807,-1.980728494130064,0.1240225259312661,-15.97071563618848,2.0442691169020605e-57,9.948850275977478e-56,55.00222710494765,Down
COX7B,4541,ENSG00000131174,2612.3387495257693,-1.3410419407683731,0.1350334600260267,-9.931182541792952,3.0462119044080494e-23,3.0093917737272924e-22,21.52152127052101,Down
COX7C,3917,ENSG00000127184,4462.009822499921,-1.5056851398922255,0.1438863718254305,-10.464404104365018,1.2586597763134903e-25,1.441483481954125e-24,23.841190329853838,Down
COX8A,4617,ENSG00000176340,1941.745447955661,-1.6618245007933024,0.1682850072147884,-9.87505974713632,5.340112738766119e-23,5.188744016915862e-22,21.284937754393365,Down
COX8C,44670,ENSG00000187581,3.786837530055485,0.0213557850883438,0.4655703364502987,0.0458701584193899,0.9634137392629392,0.9677271136636152,0.0142470907681221,Not Significant
HIGD1A,1376,ENSG00000181061,2593.9252083446468,-3.2547610895753736,0.2265412269686001,-14.3671910544852,8.313528682439681e-47,2.7090511656481546e-45,44.56718279240175,Down
MR1,4252,ENSG00000153029,1680.6574011560149,2.282641230005341,0.2240401452179199,10.18853664723818,2.2309700478892668e-24,2.3537704448351586e-23,22.62823589467978,Up
MT-CO1,681,ENSG00000198804,385757.5265869238,-3.788679872955929,0.2223259377222149,-17.04110600756666,4.069621120215785e-65,2.677536206527896e-63,62.57226464778314,Down
MT-CO2,336,ENSG00000198712,150867.0825116362,-4.643127847214089,0.230751815249437,-20.12173920363305,4.7608069020442625e-90,6.338936691442969e-88,87.19798358561472,Down
MT-CO3,726,ENSG00000198938,187306.12823291213,-3.65519083159379,0.21735228243235,-16.816896471889834,1.835242577289746e-63,1.1327258553723273e-61,60.945875186257865,Down
NDUFA4,1189,ENSG00000189043,6955.12572427894,-2.441764502231925,0.1634563617854854,-14.938326508431738,1.85577353809459e-50,6.997513817465743e-49,48.15505623529221,Down
