gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
TEAD1,1.7930739751052154,1.0462251713731387e-13,6.131845613076013e-13,12.212408788297969,Up
TEAD3,0.39959178371757004,0.09620357390922879,0.11578020589908226,0.9363656824358612,Not Significant
TECPR1,-1.2010675010209537,4.984463998765438e-22,1.0588425665948865e-19,18.97516860792067,Down
TECPR2,-0.6510034903940719,1.4103483363738953e-13,8.079425334791347e-13,12.092619528186376,Not Significant
TECR,0.3929482521823171,0.0005776987876913485,0.0009261153058800627,3.033334938166969,Not Significant
TEFM,-0.01923412420242255,0.8500665753762602,0.8654482573446295,0.06275889222700168,Not Significant
TELO2,0.5255284406786612,2.483291618144788e-10,8.834102000433732e-10,9.053837590591575,Not Significant
TENM1,-0.7960355788513029,0.0019266197011921305,0.0029000989833273877,2.53758717893578,Not Significant
TENM2,-1.778399871307575,2.205195645916388e-15,1.8407282661061495e-14,13.7350103186339,Down
TENM3,-1.398636729736757,2.9839055534904316e-10,1.0521501662019614e-09,8.977922271875515,Down
TENM4,-0.38744006955180493,0.0006890276575872861,0.0010956444985985429,2.9603303375869787,Not Significant
TENT2,-0.1355298153000057,0.42946563915856806,0.4676054223850978,0.33012046137188955,Not Significant
TENT4B,0.1562116609276658,0.11150489733340131,0.13310257756231356,0.8758135342304297,Not Significant
TEP1,0.35786190010044583,0.00020170853812859134,0.00034145132108969053,3.466671202638495,Not Significant
TEPSIN,-0.3213886031366865,0.003169192334132009,0.0046494887957688625,2.332594794503867,Not Significant
TERF1,0.8569771563322051,1.0365186412785514e-09,3.3928058292668055e-09,8.469440994375207,Not Significant
TERF2,0.5560306345236109,8.079448299592674e-07,1.8418523291822195e-06,5.734745192375953,Not Significant
TERF2IP,-0.14409158733275085,0.045478841576221014,0.057110539506199126,1.243283737165669,Not Significant
TES,0.4893502386491297,0.0019144776045229338,0.0028839070022401185,2.540018748482825,Not Significant
TESC,-2.217899066691711,1.8018534754521277e-17,2.828882779182684e-16,15.54838504809227,Down
TESK1,-1.129815680619594,1.2644176171830237e-14,8.868816022411116e-14,13.052134354154099,Down
TESPA1,-2.568445223851226,2.4881419757508196e-19,9.184067314039107e-18,17.036964941800566,Down
TEX10,0.6736814561162386,3.728600987739176e-08,1.0072932177881413e-07,6.996844090190011,Not Significant
TEX2,-0.9697405991440808,4.386940586116169e-14,2.762472145243993e-13,12.558702092393826,Not Significant
TEX264,0.5576668680404492,4.1236351302059837e-07,9.795280253380668e-07,6.008983133864693,Not Significant
TEX30,0.07504225225627817,0.5735403977335687,0.60924542247164,0.2152077251761077,Not Significant
TF,1.3461245292332875,2.463507986418939e-11,1.0052001031217067e-10,9.997747475525953,Up
TFAM,-1.7592209360295215,1.3846332591734163e-18,3.464578748734637e-17,16.460349562847753,Down
TFAP4,-0.0030377123758107555,0.979431222510932,0.9820729790112985,0.007856238074303972,Not Significant
TFB1M,-0.3785074748136851,0.00011486036590210208,0.00020053363781868174,3.6978127677135055,Not Significant
TFB2M,-0.22137491996109898,0.00038015454170211747,0.0006222721535740431,3.2060196330822506,Not Significant
TFCP2,0.48734807771787103,3.544897590740348e-08,9.591587996365033e-08,7.018109484490952,Not Significant
TFDP1,0.2730845794382409,0.07445351293259879,0.09098222776654388,1.0410434333571097,Not Significant
TFDP2,0.41145499208179687,0.005982040140277635,0.008457899459406398,2.072737481696157,Not Significant
TFE3,0.16539209991055276,0.08138264036083331,0.09899636595955522,1.0043807475507285,Not Significant
TFEB,0.6978489292416726,4.552265317477491e-05,8.335009619986492e-05,4.079093894587669,Not Significant
TFG,0.11659876872854111,0.021789837251532874,0.028561946348218827,1.5442122009753576,Not Significant
TFIP11,0.6532338251540428,3.665705990826089e-10,1.2761459006569583e-09,8.894099670263824,Not Significant
