gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
A1BG,-0.2376595989574266,0.5228102457275697,0.5866329266495364,0.23163356450432288,Not Significant
A2M,2.737188225668607,0.00014639270171087394,0.0007586214388041893,3.119974888204814,Up
AAAS,0.9746849561807913,7.401467001970727e-06,9.343656463390114e-05,4.0294831375686515,Not Significant
AACS,-2.0148565213859033,2.3475778134516797e-05,0.00020753235371772313,3.682914188369912,Down
AADAT,0.20786994162922667,0.2229390912854393,0.28497505463894374,0.5451931544013295,Not Significant
AAED1,0.952962263949992,0.006058988213853883,0.013594264424579958,1.8666442867884019,Not Significant
AAGAB,-0.8605171231381838,0.000580527794643998,0.0021398598621454944,2.6696146673469534,Not Significant
AAK1,-1.7838125909059777,1.2306187661241309e-05,0.000130223250524522,3.8853114683560057,Down
AAMDC,1.2601132349359254,2.2640902822010664e-07,9.324606843611578e-06,5.030369470430757,Up
AAMP,0.19756499969697217,0.16462336545201386,0.21919400920613466,0.6591713197327054,Not Significant
AAR2,0.7518622221959461,0.014056572758730013,0.027029187625777083,1.5681670070184084,Not Significant
AARS,-0.6614269898486178,0.0001184111147195515,0.000646543940208543,3.1894019544005503,Not Significant
AARS2,0.2216461300057695,0.17312511723643154,0.22889383448766326,0.6403659053772193,Not Significant
AARSD1,0.3310213128173416,0.022898791330178508,0.04062740821772072,1.3911808821442886,Not Significant
AASDHPPT,-0.8567217798844347,0.0042204938460194295,0.01017728952451986,1.992367870455298,Not Significant
AASS,1.9239534570325283,3.958109516045132e-06,6.099502607696146e-05,4.2147055786843595,Up
AATF,0.9579998450780884,0.00082122189379215,0.0027939849233576896,2.553775941715118,Not Significant
AATK,-2.399460641593219,0.0006715186801108853,0.002385359373567369,2.6224461817392712,Down
ABAT,-0.6092753152888513,0.09612914887967454,0.13840289349919127,0.8588548302723514,Not Significant
ABCA1,3.4611184171222966,2.2299442489065226e-09,5.22429264267077e-07,6.2819725037204615,Up
ABCA2,-1.782588547405389,0.0004273797944649728,0.0016970532319432936,2.7703045348322064,Down
ABCA3,-0.6860405043045112,0.0015559918370100392,0.004613025828734295,2.3360141137322112,Not Significant
