Gene Symbol,3744,3745,3746,3747,3748,3749,3751,3752,3753,3754,3755,3756,3757,3758,3759,3774,3775,3776,3777,3778,3779,3780,3781,3782,3784,3785,3786,3825,3826,3827,3830,3832,3833,3834,3836,3839,3840,3895,3897,3899,3900,3901,3903,3905,3906,3907,3910,4094,4095,4096,4097,4098,4102,4103,4122,4123,4124,4125,4126,4127,4128,4129,4745,4746,4747,4749,4750,4751,4753,4754,4755,4756,4757,4759,4761,4765,4767,4770,4771,4773,4774,4776,4777,4778,4779,4780,4781,4782,4783,4784,4785,4787,4788,4790,4791,4793,5063,5070,9907,9938
ABCF1,11.70420626546808,11.538528463894092,12.417641579138627,12.079818085212354,12.577523242161032,11.772232084711481,11.969854152167605,12.041624931709537,12.326064272762391,12.265175490788916,12.54793078355854,12.388367150298517,11.722551408724712,11.69735856526356,11.890568290306586,10.321364432039447,11.280190792216906,10.933838162241447,11.98260148472291,11.288462385985934,10.48492356730506,11.516192477879367,10.322942133381842,10.248164779300692,10.845803646215883,11.52194389765676,9.968234783896909,11.355240962828752,12.283377789285558,11.55204462697889,11.712741927075735,11.742898858293513,12.298835846666014,12.262124215898593,11.277229272648293,11.604599557655682,10.71158094267247,11.783571242961267,12.246503098280098,11.611762560064872,11.870172039110212,11.723746257975005,12.042069727471002,12.134265869234731,11.786392161661045,11.90996806597119,12.05924304945513,11.916625922211235,11.264266651078156,12.33195260322896,11.555020444539903,11.639838103947932,11.532745526976576,11.355901638328417,12.257711941201123,11.55242894852647,12.920743625448086,12.341824564361486,11.930737337562887,11.728048045770118,11.916327351216609,11.838376678890198,11.31972856331084,11.210184275907636,11.144913113434239,12.1640269662697,11.980568037289157,11.614065640022838,11.707574829926973,11.905236559735041,11.707704233156775,11.58096513597733,11.913674822459258,11.782629709667143,11.938146091679439,11.99332762724641,11.720500790613327,12.166759373799316,11.604645884744647,11.737543120125036,12.232720707964873,12.284534954008425,11.942221244835967,11.620494772948058,11.972405464784467,11.646648707038073,11.143957116420337,12.005905201862964,11.84909228762457,11.843371498033065,12.445687394803256,11.444652574229613,11.8320197053583,11.712655960263596,12.43572234284991,11.643179767925549,11.494005513735615,11.085273269861746,11.409762170182658,11.620265653719905
ACTB,16.16716526000037,16.221732486007397,16.29059488808257,15.40059930002678,15.989846823463989,15.335212379690198,15.484045587735025,15.833250840536628,15.855503609560728,15.846193095438336,16.38108324872256,16.114637062485798,15.954378090144047,15.490086216197378,16.025091967787084,15.89904767340262,15.914165534268127,16.08543303847794,15.0944942317737,16.171962527119938,15.903726536827673,15.431265798552888,16.229284485567053,16.23931509357394,15.725379572724934,15.65822822184529,15.004878800315392,15.927257131452896,16.802409077853724,15.586675622814312,16.485157919520454,15.905833547051603,16.045096254740425,15.983608228558989,15.752696854831962,15.902766074074268,15.831393846455214,15.938727321013507,15.832773838525545,15.54925823845833,15.337158442607516,15.468070326630277,15.669557767508962,15.52439785461558,15.177520759802695,15.489998442337898,15.190056137313467,15.160084131213758,15.496416909118043,15.277854020378372,16.27654246447902,15.219425689399076,15.594333352453308,15.11842608010275,15.84133092280403,15.461354740862387,16.148512331337137,15.247578958456467,15.288159545704952,15.184135369147693,15.29192610297341,15.17402839914837,15.183119708819756,15.718562307604044,15.403381573612817,15.411570569451376,15.593534101258745,15.335194929978597,15.77122120892738,15.214690979738323,15.445360859718795,15.218695663826084,15.308954007097082,15.735437028394166,14.927463171380168,15.22424667632842,15.595234166861152,15.473550387753562,16.758581084901316,15.545401930831247,15.300670724733562,15.908343360379149,15.53620167535318,15.273748256364755,15.3607099393494,15.359368661610507,15.699032859920568,15.496164089194586,15.330356716957944,15.238386078517296,15.732079958034822,15.575985293026417,15.370319603449397,15.58199198721975,15.654921272687393,15.131447045833799,15.1497828371946,15.154379064321411,15.445111867469748,15.447867788305107
ANAPC5,11.907867089829098,12.584868572205163,11.77704978843883,11.876785508409386,12.171802288682983,12.06568539467003,12.350082810540854,12.099512191995222,12.377671468319592,11.953250686255833,12.483412733529022,11.877859256130328,13.037306713568483,11.912664833020095,12.444807844642602,11.241268177329374,10.965062756744627,11.365775635326269,12.24846130675963,11.812698763975398,11.665602400276946,11.024654890410334,12.006676715308988,11.225870177154768,11.12360412414095,11.956521363333119,10.693574074134773,12.192169501932474,12.065281485832276,12.595164220836773,12.11614898927408,11.938146091679439,11.612039123861537,12.100695186878992,13.004413608762086,12.13134253912326,12.800920116917677,11.943503819665638,11.930811244227224,11.888400796459837,12.403544678202014,11.66266837551754,11.747857300095939,11.807636670919136,12.2103669456326,11.846939857998034,11.733481452175685,12.266815815865424,11.874942936731346,11.9450414058779,12.227585861886247,11.732549040542184,12.126510896121623,12.068005678552757,12.063159107194629,12.000281748861532,12.187135528963575,12.363340844926727,11.725707078837669,12.26903899242628,12.104140058250795,12.065180490951356,11.922584402713664,12.228638342343775,11.962679151108194,12.149207277853376,11.835931967128447,11.444652574229613,12.192107841710607,11.927333531712481,11.833522636424775,11.516290985614948,12.005098178239706,12.005098178239706,11.818422401741076,11.839046280040574,11.819700112477433,11.957428570386323,12.254851468722995,11.87839583045702,12.469005792434924,11.736613330694578,12.236851334153128,12.122860341867474,12.179131566395528,11.593857938858223,11.67339741915444,13.02417005566244,11.954269025038279,11.938146091679439,11.902601224515623,12.025347228959417,12.497228130642114,12.410239330776022,12.58995538172037,11.81257844413538,11.928740425132514,12.023269215769988,11.70925616725348,11.614295745936033
ARF1,13.695717663228248,13.819710090139074,13.976787849094755,13.493267546297174,14.299100671012633,13.268439657135433,14.084102476880464,14.01388965910415,13.890463792965456,13.89070127597667,14.142338444477115,13.973509036038262,14.42686094894152,13.145120162649746,13.796130890077006,10.691220076567399,12.747018084761422,10.419012110538533,13.812979471251483,11.564482967467898,11.388985934370147,13.781011293391343,11.271287932929843,10.008988783227254,11.797256217509785,13.707585613972787,9.94529751100217,13.440350119200563,13.232495878213363,13.62027711054555,13.29304050024473,13.360531631577217,13.433089853404109,13.688239379583893,14.183844699725453,13.38437904812963,14.008358586630829,13.53107680524311,13.386374477273312,13.517128029910545,13.675229329022534,12.949571408462077,13.786851571540346,13.31539018009873,13.29243667566649,13.90283671811924,12.608254821977908,14.11291999929324,13.825286769222576,13.095133251872928,13.592176693637787,13.539607159751283,13.479325561590848,13.615169813843602,13.658735882073302,13.618947511551465,13.330622820626582,14.176999002112572,13.87540380031814,13.558444630428518,13.058668250340572,13.508797539285277,12.736232789511321,13.439441334892786,13.51904647493452,13.32454623808983,13.649974651158104,13.7935931494194,13.354015159192736,13.406218294737169,13.509354404344622,13.489822878596776,13.499845887083206,13.956094778866591,13.070657661388106,13.384918625523815,13.275891693758144,13.890349787233015,13.557140566821893,13.56614919961309,13.962968282837382,14.355936040222733,13.415253218187603,13.63207504940794,13.52348844730384,13.770653570219261,13.557427801307734,13.969755242902174,13.720607665621035,13.59584022372819,13.631268017214735,13.86435060561058,13.268512760136746,12.710419023234163,13.693138438342928,13.409854963769897,13.105990328791846,13.666268392736903,13.70782284258863,13.500928996192377
ARF3,12.781318727287895,12.213711798105672,12.770106361530633,13.048095154316693,12.773345291291271,13.060189278463422,13.207853207234328,13.290004442956551,12.916122047808695,12.951157198406356,13.118129977497281,12.757202471826124,10.845725253788288,13.25491050483721,12.642232244212975,11.412887352959348,11.497003530346419,10.38586240064146,12.862811679134206,11.272221527326597,11.287596959329308,11.409656113059851,9.911841355559563,10.827739648806956,9.59114830066745,12.828890170838145,10.07427528725433,12.538310202597684,11.776350778387247,11.797580473293786,12.32527734306519,12.870422518707665,12.57187112541885,12.662712874986735,10.956448762118255,12.376586673982422,11.80783788642329,13.010720405787403,12.131728372432685,12.612292594109512,12.768060234431145,12.486231677981012,12.740792672277681,12.217382200942176,12.450901929767163,12.892656649220253,12.443124857747666,11.354745257577612,12.128671029889945,12.491001254070408,11.789696652149889,12.94288099715904,11.93328493212427,12.14315996804227,12.180157809098542,13.39979861086422,12.201358184030669,11.84834908403525,13.080018029089175,13.205732168720552,12.391055586387399,13.35757949473424,12.408011229883906,12.270236916583537,12.52118327370711,12.574120435009748,13.156272725747696,12.893623863615147,12.439415361213287,12.535664190810163,13.280089272106224,12.766549613028955,12.554636812816614,13.043984204583458,12.226653023277766,12.285922327637055,13.163083555567846,12.8923341002701,12.144052744633735,12.750644186176727,12.090476356450564,12.115303806152117,12.549568103072371,12.753927055626978,11.91714827281493,12.308282140412043,12.419222846010847,12.98260148472291,13.01412511074443,13.391001866732905,12.770746471837871,13.092228584386778,12.833819082642755,12.535712785216786,12.179131566395528,12.832296678749884,13.279567055807002,12.756556322524087,13.588281293587611,13.726739700654594
ATP6V0B,13.116993677546981,13.084393187916358,12.807214026990263,11.54756935984222,14.1885502126108,11.528502948632836,12.879085418625015,13.083728619451383,12.633108754940718,12.240165233600612,12.881286064080692,12.637258831957524,13.829504728980103,11.804937672051908,13.57381284178314,10.212009933181958,10.986837536716163,10.388663123619393,12.775898297224517,11.389254888163899,10.849561482178293,11.537655220517644,12.082115768483083,10.545833264517325,10.416691986434728,11.922844525199107,8.91079261307751,13.241148980812524,12.713193168816646,13.92830554538652,12.896899984419875,12.238792829413223,12.51056638944875,12.380812767068747,14.72040459633662,11.873867015489711,13.764156284429134,13.000915482691573,12.154849746754342,12.5543250369091,12.624841138957116,11.736740155453209,12.338485699495257,12.503229459813719,11.9387709611957,12.697575763379215,12.267284137820768,13.0883741827944,12.697228230696803,12.856406074677743,12.997020662810632,12.247393522552333,12.359529955322913,12.595327422952126,12.344018439881326,13.670125097965276,13.416810719709616,12.72798425157717,12.49460561567122,12.28375396963592,12.995820138214263,12.411961097959933,11.455378597418253,13.87786883956496,12.703427786201754,12.60654401567795,12.429354431100773,12.3968188150137,12.115466379826339,12.331420837263835,12.47644244669213,12.542064542283443,12.453013354466314,12.966343220703566,12.294735608574095,12.384891651446448,12.45835534384507,12.169267373372044,12.42799369418414,12.650625458977713,12.542137110631382,13.37057843780978,12.48416834819087,12.691111002116358,12.849541935451459,11.912926750035306,12.317327813366662,13.210793085065884,12.311038711409477,12.061877431055866,12.523831456112136,12.553317300177776,11.946504251744205,12.804695724144995,13.092889249801487,12.088589506704624,12.443824183011653,12.824580918102301,12.263650660017761,12.794842275679796
ATP6V0E1,13.776217105540887,13.663335723478353,13.120302686984202,12.445480490060742,13.069953179485543,10.947271652460348,12.547352462143413,13.212359587143284,13.589370257061798,12.492904678121038,14.039424598208775,13.746041882930665,13.86380878101757,12.163555338033454,13.3969659448558,12.65255371634416,12.836405460568429,12.310811564524926,13.13514812891197,12.82760073062941,12.794273701895293,12.637326766647382,13.822521040781197,12.453193454964754,11.997461781112847,13.203164442315238,11.290940402403677,13.190457451894982,12.349474754841989,13.638107785742152,12.357057092933712,12.860408059124655,12.331896637093454,12.402639048288588,13.226562716555513,11.276182577288555,14.05667158079649,12.92148765663534,11.922064016997759,12.788106545965245,13.070976242606335,11.28557560928862,12.81482276155809,12.943027567822673,12.217261014437483,12.586769433757425,12.90258238336662,13.496679045954501,13.310811564524926,12.766218306486167,13.09936424940526,13.468458586751671,13.051701766204891,12.997091250803301,13.094688029061158,13.578030612252492,12.84075825749808,11.288577736992703,13.02925271231996,12.552549028017228,12.867819262920214,12.470175861469773,12.278217121471306,14.50351520719516,13.188496124537556,12.448580949811053,12.263005053829461,12.999489189900277,11.399598369120115,12.626895382563326,12.965676078476237,13.288188390375476,13.01335757128689,13.518751495541933,12.97772711827145,12.844019163774426,12.894552537635557,12.8589134706793,12.314073367951202,13.182161541746312,11.85739789170129,14.081841238015096,11.822371659963327,13.276778705235968,13.002850168566715,11.664536172446763,12.742772573805206,12.395962489099919,12.492679403683486,12.343657651638338,12.691787130816836,12.882986871084078,12.268249571994492,12.352319354846841,12.374930790581718,12.83456980721744,10.91169158187234,13.050783956364931,11.725451470679747,13.038044467552252
ATP6V1G2-DDX39B,12.388367150298517,13.76220553240621,13.642841438033619,13.48370243259399,13.925878917047676,13.643833647488599,13.930561794059594,13.379283592324626,13.980505561514926,13.594067956818593,14.421650667993637,13.420078642467272,14.35512393667012,13.380880392236493,13.551948530592997,12.624292846298397,13.107560377850312,13.424179413713283,13.74365633317414,14.040383911003225,12.82033854374834,13.61362833764998,13.376084680602492,12.893870304785095,13.448877727630586,13.60001741519611,12.322688690570264,13.647278528076871,13.614939847310735,14.057517964619848,13.487287363721052,13.343546621716907,13.94180874637021,14.366800300991793,14.261889234927592,13.75913918517392,13.20583905820759,13.296815856953662,13.5909612413426,13.213089026901413,13.673463673299047,13.723735594055272,13.494355603532846,13.017191191633737,13.698531046812148,13.66365816436757,13.376030400584016,13.485326189240524,12.835576745038752,13.393752426586412,13.59224678465267,12.53952234772099,13.472843121322427,13.657485935413284,13.443565213178276,12.805764021382991,13.011454406090538,14.408926759207896,13.726665206293651,13.424533740756202,13.846675474800529,13.02442980882583,13.806438858064555,12.551804374011443,13.570164046336803,13.381407759783006,13.371586087125639,13.193525360501216,13.97837083531635,13.46095496812702,13.196725060786028,13.07308716077972,13.489045125114801,12.835892502326265,13.427483086772728,13.704433242815902,13.324855596950432,13.241789546329532,13.795451213322169,13.223504003332817,13.683871868622603,13.332987585319335,13.94611125764431,13.329796338220701,13.37115043324568,13.468140348473225,13.096879836303781,13.762465093028995,13.829088444004885,13.127929855950763,13.305221012001356,12.563839763287794,13.629823325648802,13.526083487445817,13.966253084374548,13.13537261798205,13.011856200448499,12.747731448912461,12.492504165909452,12.722508717229573
C11orf58,13.665002744086227,13.382664551147352,12.583505921064539,12.77922688371316,13.399811959325685,11.999189665389139,13.196540655463236,13.335320563191559,13.406244873006562,13.02657531221438,12.668286691213138,13.042103936850124,14.023451161461796,12.428229298205096,13.20406672412456,13.261786418716536,13.243486414531645,13.178991567631403,13.461952594128132,13.101417650949895,13.514183916703328,13.073221083109878,13.893339456099216,13.64699739194442,12.741551253510243,13.03419714109205,13.246547632548307,13.539776768855743,13.622292096050796,13.536999940941339,13.298076891466822,12.972746495619024,12.251068123689947,12.803828410790832,13.6180068827942,12.072099099480905,13.636466024118022,11.9901039638575,12.055824700134858,12.348036512700553,12.75803578547127,11.770581309268614,12.901828535566478,12.546195123367173,12.147045888945717,12.80572372263883,12.796891342618686,13.358788541560408,13.093417564387961,12.960816477139623,13.932630002314825,12.915786033745587,11.851944197999499,12.930441673038665,12.706085857940263,13.695967722468872,12.28213280116414,12.57454622508541,12.998308350354286,13.466904918937473,13.302938740176067,12.76849450395343,12.567314418150657,13.730236603783425,13.321392620412771,12.991574989560567,12.662957597535605,12.594231282986822,11.887677574256207,12.699160319775068,13.008813756228497,12.956067545787842,12.702324221003614,12.723063608152893,12.901809684323629,12.285026468100678,13.099775163590818,13.467885707297597,13.459470042176783,12.582965202817142,12.844588084649983,13.705859140467803,12.349889366070418,12.547135531830865,12.389819527979121,13.071546159788424,12.694901951428559,12.939230251470274,12.782998208920414,12.913020280303988,13.2696234699358,13.184100491908998,12.778200361320028,12.610102062999664,12.361834142287117,12.675361666130796,12.51537953231414,13.169799762061976,12.672115907279512,13.170331954360323
