,Subtype,Pathway,Complex,Heatmap genes,Complex genes,Overlap,Expected overlap,Percent overlap,Odds ratio,P-value,FDR
52,Proneural,Apoptosis,Complex Iii,36,2,0,0.00714711137581894,0.0,0.0,1.0,1.0
53,Proneural,Apoptosis,Complex Iv,36,9,0,0.03216200119118523,0.0,0.0,1.0,1.0
54,Proneural,Apoptosis,Complex V,36,3,0,0.01072066706372841,0.0,0.0,1.0,1.0
55,Proneural,Autophagy,Complex I,27,21,0,0.05628350208457415,0.0,0.0,1.0,1.0
56,Proneural,Autophagy,Complex Ii,27,3,0,0.008040500297796307,0.0,0.0,1.0,1.0
57,Proneural,Autophagy,Complex Iii,27,2,0,0.005360333531864205,0.0,0.0,1.0,1.0
58,Proneural,Autophagy,Complex Iv,27,9,0,0.024121500893388922,0.0,0.0,1.0,1.0
59,Proneural,Autophagy,Complex V,27,3,0,0.008040500297796307,0.0,0.0,1.0,1.0
60,Proneural,Ferroptosis,Complex I,5,21,0,0.01042287075640262,0.0,0.0,1.0,1.0
61,Proneural,Ferroptosis,Complex Ii,5,3,0,0.0014889815366289458,0.0,0.0,1.0,1.0
62,Proneural,Ferroptosis,Complex Iii,5,2,0,0.0009926543577526306,0.0,0.0,1.0,1.0
63,Proneural,Ferroptosis,Complex Iv,5,9,0,0.004466944609886838,0.0,0.0,1.0,1.0
64,Proneural,Ferroptosis,Complex V,5,3,0,0.0014889815366289458,0.0,0.0,1.0,1.0
65,Proneural,Necroptosis,Complex I,24,21,0,0.05002977963073258,0.0,0.0,1.0,1.0
66,Proneural,Necroptosis,Complex Ii,24,3,0,0.00714711137581894,0.0,0.0,1.0,1.0
67,Proneural,Necroptosis,Complex Iii,24,2,0,0.004764740917212627,0.0,0.0,1.0,1.0
68,Proneural,Necroptosis,Complex Iv,24,9,0,0.02144133412745682,0.0,0.0,1.0,1.0
69,Proneural,Necroptosis,Complex V,24,3,0,0.00714711137581894,0.0,0.0,1.0,1.0
70,Proneural,Pyroptosis,Complex I,7,21,0,0.014592019058963668,0.0,0.0,1.0,1.0
71,Proneural,Pyroptosis,Complex Ii,7,3,0,0.002084574151280524,0.0,0.0,1.0,1.0
72,Proneural,Pyroptosis,Complex Iii,7,2,0,0.0013897161008536827,0.0,0.0,1.0,1.0
73,Proneural,Pyroptosis,Complex Iv,7,9,0,0.006253722453841573,0.0,0.0,1.0,1.0
74,Proneural,Pyroptosis,Complex V,7,3,0,0.002084574151280524,0.0,0.0,1.0,1.0
