ID_REF,log2_fc,p_value,minus_log_p,Significant
1007_s_at,-0.11252059526866809,,,No
1053_at,0.3299309467334659,,,No
117_at,-0.10427245425377052,,,No
121_at,-0.057743118237864266,,,No
1255_g_at,-0.25897989842563174,,,No
1294_at,-0.27312402982250283,,,No
1316_at,-0.3441744952204324,,,No
1320_at,0.4922521126773969,,,No
1405_i_at,-0.21435629480140328,,,No
1431_at,-0.4954072199748065,,,No
1438_at,0.25328916152751546,,,No
1487_at,0.054167862828977675,,,No
1494_f_at,-0.08821618352302352,,,No
1598_g_at,-0.12141774840372044,,,No
160020_at,-0.003159743836958384,,,No
1729_at,0.19142528895912303,,,No
1773_at,0.4509640052557362,,,No
177_at,-0.08616141835504099,,,No
179_at,0.037114889849615196,,,No
1861_at,0.16297313174266748,,,No
200000_s_at,-0.005305350808150422,0.9748895655936283,0.011044577911395839,No
200001_at,0.3331767810200912,0.09308318395497615,1.0311287698800726,No
200002_at,0.18271785370039773,0.2198045471160956,0.6579633275312614,No
200003_s_at,0.009470355871897596,0.9436609399512793,0.025184020912777785,No
200004_at,0.022930717769783726,0.8536695001353816,0.06871023475441278,No
200005_at,0.23378293719231635,0.09375363058521541,1.028011905332561,No
200006_at,-0.056270360651961226,0.6778954175100125,0.1688373018581361,No
200007_at,0.12253667961205927,0.3293645370380641,0.4823231635080684,No
200008_s_at,0.43668954125170245,0.010129239683791662,1.9944231522237446,No
200009_at,0.12224302337678239,0.3917584321965273,0.40698164701760875,No
200010_at,0.04013018038820526,0.7706234929023428,0.11315775540304633,No
200011_s_at,0.1874939823557753,0.24846600274208758,0.6047330267760822,No
200012_x_at,0.03776690285167561,0.7928550218517039,0.10080621869254137,No
200013_at,0.03648663875175018,0.8167797337928782,0.0878950466448412,No
200014_s_at,-0.005311628136919211,0.966121831012297,0.014968104226191744,No
200015_s_at,-0.06614594109578498,0.597390263132733,0.2237418602424135,No
200016_x_at,-0.09420282531737989,0.4566758409947802,0.3403919627748185,No
