Gene Symbol,log2FC,p-value,adj p-value,adj -log10 p-value,-log10 p-value,Primary Mean,Recurrent Mean
LOC101930150 /// NF1,-0.024362098148495548,0.880311581477732,0.9995493194207042,0.00019577216392039268,0.05536358442997199,7.607248203697388,7.412390415620974
LOC101930150 /// NF1,-0.024362098148495548,0.880311581477732,0.9995493194207042,0.00019577216392039268,0.05536358442997199,9.368828232511692,9.285768969782747
LOC101930150 /// NF1,-0.024362098148495548,0.880311581477732,0.9995493194207042,0.00019577216392039268,0.05536358442997199,8.741721738098988,8.639941189040746
LOC101930150 /// NF1,-0.024362098148495548,0.880311581477732,0.9995493194207042,0.00019577216392039268,0.05536358442997199,7.236290222212819,6.745717188699785
LOC101930150 /// NF1,-0.024362098148495548,0.880311581477732,0.9995493194207042,0.00019577216392039268,0.05536358442997199,7.000352050724937,7.032844083359559
LOC102725271 /// NTM,-0.3298916374062859,0.4173321389237664,0.9995493194207042,0.00019577216392039268,0.37951816869540356,8.297354549695516,8.01602814649333
LOC102725271 /// NTM,-0.3298916374062859,0.4173321389237664,0.9995493194207042,0.00019577216392039268,0.37951816869540356,12.21306967783865,11.834612806228265
LOC145783 /// ZNF280D,0.11893057370781168,0.5564838396694725,0.9995493194207042,0.00019577216392039268,0.25454744301094173,6.803996160241671,6.834417246815999
LOC145783 /// ZNF280D,0.11893057370781168,0.5564838396694725,0.9995493194207042,0.00019577216392039268,0.25454744301094173,8.926579751555492,9.363408226034228
LOC145783 /// ZNF280D,0.11893057370781168,0.5564838396694725,0.9995493194207042,0.00019577216392039268,0.25454744301094173,8.593330018105696,8.571381665309545
LOC202181,-0.017935299531076865,0.9627579259452985,0.9995493194207042,0.00019577216392039268,0.016482897297734986,4.936086205521838,4.537804887832413
LOC202181,-0.017935299531076865,0.9627579259452985,0.9995493194207042,0.00019577216392039268,0.016482897297734986,8.180446805543438,8.54285752417071
LOC284009 /// METTL16,-0.03591885786505955,0.9170505942218761,0.9995493194207042,0.00019577216392039268,0.037606703339066204,5.913107981226074,6.074169657456594
LOC284009 /// METTL16,-0.03591885786505955,0.9170505942218761,0.9995493194207042,0.00019577216392039268,0.037606703339066204,10.863582482852431,10.76805131722601
LOC284009 /// METTL16,-0.03591885786505955,0.9170505942218761,0.9995493194207042,0.00019577216392039268,0.037606703339066204,9.213686761671045,8.84341914337619
LOC441204,-0.25880055649033284,0.41320619999409325,0.9995493194207042,0.00019577216392039268,0.38383317058307925,4.208383587558185,3.8504687022733184
LOC441204,-0.25880055649033284,0.41320619999409325,0.9995493194207042,0.00019577216392039268,0.38383317058307925,8.089481678587006,8.099091818208095
LOC441204,-0.25880055649033284,0.41320619999409325,0.9995493194207042,0.00019577216392039268,0.38383317058307925,6.550009332284733,6.345184450365142
LOC441204,-0.25880055649033284,0.41320619999409325,0.9995493194207042,0.00019577216392039268,0.38383317058307925,6.679039362739157,6.395195421950288
LOC643733,-0.337454355744951,0.21237602763022287,0.9995493194207042,0.00019577216392039268,0.6728945064796503,4.1733525525132835,3.7246986053773363
LOC643733,-0.337454355744951,0.21237602763022287,0.9995493194207042,0.00019577216392039268,0.6728945064796503,6.253562998592544,6.027308234238592
LOC645166 /// LOC654342,0.11182444049634999,0.7025757705614113,0.9995493194207042,0.00019577216392039268,0.15330683155721817,8.139463869002507,8.283894105013202
LOC645166 /// LOC654342,0.11182444049634999,0.7025757705614113,0.9995493194207042,0.00019577216392039268,0.15330683155721817,7.211093567120654,7.290312212102657
LOC729966 /// PDE4C,-0.16398640096507133,0.3570372310547789,0.9995493194207042,0.00019577216392039268,0.4472864941343191,8.012945174426767,7.9180484015993535
LOC729966 /// PDE4C,-0.16398640096507133,0.3570372310547789,0.9995493194207042,0.00019577216392039268,0.4472864941343191,11.384563624210458,10.611646485325881
LOC729966 /// PDE4C,-0.16398640096507133,0.3570372310547789,0.9995493194207042,0.00019577216392039268,0.4472864941343191,5.9888131285955,6.038965718964851
LOC729966 /// PDE4C,-0.16398640096507133,0.3570372310547789,0.9995493194207042,0.00019577216392039268,0.4472864941343191,6.930530579972249,6.8751115518229815
LONRF1,-0.0537613250361062,0.7074666959794971,0.9995493194207042,0.00019577216392039268,0.15029399968965607,7.517530515809127,7.385938167084643
LONRF1,-0.0537613250361062,0.7074666959794971,0.9995493194207042,0.00019577216392039268,0.15029399968965607,10.702677458536066,10.870343321814953
LONRF1,-0.0537613250361062,0.7074666959794971,0.9995493194207042,0.00019577216392039268,0.15029399968965607,6.927315791272452,6.807789325298115
LOXL2,0.17693915887469203,0.3018551577166286,0.9995493194207042,0.00019577216392039268,0.5202013989320495,3.322958824664641,4.169938397387584
LOXL2,0.17693915887469203,0.3018551577166286,0.9995493194207042,0.00019577216392039268,0.5202013989320495,8.737400034374117,9.256497559169341
LOXL2,0.17693915887469203,0.3018551577166286,0.9995493194207042,0.00019577216392039268,0.5202013989320495,4.8410368295438095,4.701685625076562
LOXL2,0.17693915887469203,0.3018551577166286,0.9995493194207042,0.00019577216392039268,0.5202013989320495,7.240800083666535,7.185769770398951
LPAR3,-0.12773181139542178,0.65148759335182,0.9995493194207042,0.00019577216392039268,0.1860938503224135,6.937971765064974,6.749174031692181
LPAR3,-0.12773181139542178,0.65148759335182,0.9995493194207042,0.00019577216392039268,0.1860938503224135,4.752851113261868,4.6861852238438155
LPCAT4,0.050250398998120005,0.687729638085545,0.9995493194207042,0.00019577216392039268,0.16258225903288745,7.857898749521062,7.820606245470986
LPCAT4,0.050250398998120005,0.687729638085545,0.9995493194207042,0.00019577216392039268,0.16258225903288745,4.375766646454643,4.410943929226786
LPCAT4,0.050250398998120005,0.687729638085545,0.9995493194207042,0.00019577216392039268,0.16258225903288745,6.045186932824693,6.096076809127207
LPCAT4,0.050250398998120005,0.687729638085545,0.9995493194207042,0.00019577216392039268,0.16258225903288745,7.721440629917582,7.45762828676319
LPCAT4,0.050250398998120005,0.687729638085545,0.9995493194207042,0.00019577216392039268,0.16258225903288745,5.6848909028317465,6.307892218376205
LPGAT1,0.0428164468163299,0.7780656799668586,0.9995493194207042,0.00019577216392039268,0.10898374068816095,8.45347687127121,8.578191332984236
LPGAT1,0.0428164468163299,0.7780656799668586,0.9995493194207042,0.00019577216392039268,0.10898374068816095,9.907586466203844,9.868504898123472
