subtype,pathway,gene,complexes
mesenchymal,Autophagy,PRKACB,
mesenchymal,Autophagy,SQSTM1,
mesenchymal,Autophagy,MAPK8,
mesenchymal,Autophagy,MAPK9,
mesenchymal,Autophagy,PIK3R1,
mesenchymal,Autophagy,AKT3,
mesenchymal,Autophagy,PDPK1,
mesenchymal,Autophagy,PIK3CB,
mesenchymal,Autophagy,ATG4A,
mesenchymal,Autophagy,RB1CC1,
mesenchymal,Autophagy,WIPI1,
mesenchymal,Autophagy,VMP1,
mesenchymal,Autophagy,CAMKK2,
mesenchymal,Autophagy,PRKAA2,
mesenchymal,Autophagy,TANK,
mesenchymal,Autophagy,PRKCQ,
mesenchymal,Autophagy,DAPK3,
mesenchymal,Autophagy,DAPK1,
mesenchymal,Autophagy,RAB8A,
mesenchymal,Autophagy,VAMP8,
mesenchymal,Autophagy,DEPTOR,
mesenchymal,Autophagy,RRAS,
mesenchymal,Autophagy,MRAS,
mesenchymal,Autophagy,RAB39B,
mesenchymal,Ferroptosis,ACSL1,
mesenchymal,Ferroptosis,LPCAT3,
mesenchymal,Ferroptosis,HMOX1,
mesenchymal,Ferroptosis,TP53,
mesenchymal,Ferroptosis,SLC3A2,
mesenchymal,Ferroptosis,CYBB,
mesenchymal,Ferroptosis,STEAP3,
mesenchymal,Ferroptosis,PRNP,
mesenchymal,Ferroptosis,SLC39A14,
mesenchymal,Necroptosis,CASP1,
mesenchymal,Necroptosis,TNFRSF1A,
mesenchymal,Necroptosis,RIPK3,
mesenchymal,Necroptosis,PYCARD,
mesenchymal,Necroptosis,RIPK1,
mesenchymal,Necroptosis,STAT3,
mesenchymal,Necroptosis,TNFRSF10B,
mesenchymal,Necroptosis,BAX,
mesenchymal,Necroptosis,TLR3,
mesenchymal,Necroptosis,FADD,
mesenchymal,Necroptosis,MLKL,
mesenchymal,Necroptosis,CFLAR,
mesenchymal,Necroptosis,STAT2,
mesenchymal,Necroptosis,STAT5A,
mesenchymal,Necroptosis,CASP8,
mesenchymal,Necroptosis,STAT1,
mesenchymal,Necroptosis,CYBB,
mesenchymal,Necroptosis,IL33,
mesenchymal,Necroptosis,SQSTM1,
mesenchymal,Necroptosis,MAPK8,
mesenchymal,Necroptosis,MAPK9,
mesenchymal,Necroptosis,TYK2,
mesenchymal,Necroptosis,DNM1L,
mesenchymal,Necroptosis,FAS,
mesenchymal,Necroptosis,CAMK2A,
mesenchymal,Necroptosis,AIFM1,Complex I
mesenchymal,Necroptosis,GLUD1,
mesenchymal,Necroptosis,SLC25A4,
mesenchymal,Necroptosis,CAPN2,
mesenchymal,Necroptosis,TRADD,
mesenchymal,Necroptosis,CAMK2G,
mesenchymal,Necroptosis,IFNGR1,
mesenchymal,Necroptosis,CAMK2B,
mesenchymal,Necroptosis,RBCK1,
mesenchymal,Necroptosis,TNFAIP3,
mesenchymal,Necroptosis,STAT4,
mesenchymal,Necroptosis,CHMP2A,
mesenchymal,Necroptosis,GLUD2,
mesenchymal,Necroptosis,SPATA2,
mesenchymal,Necroptosis,PLA2G4A,
mesenchymal,Pyroptosis,CASP1,
mesenchymal,Pyroptosis,TP53,
mesenchymal,Pyroptosis,IL18,
mesenchymal,Pyroptosis,BAX,
mesenchymal,Pyroptosis,CASP3,
mesenchymal,Pyroptosis,CASP4,
mesenchymal,Pyroptosis,GSDMD,
mesenchymal,Pyroptosis,BAK1,
mesenchymal,Pyroptosis,CHMP2A,
proneural,Apoptosis,ACTB,
proneural,Apoptosis,TNFRSF1A,
proneural,Apoptosis,NGFR,
proneural,Apoptosis,NFKBIA,
proneural,Apoptosis,KRAS,
proneural,Apoptosis,CASP6,
proneural,Apoptosis,TP53,
proneural,Apoptosis,TNFRSF10B,
proneural,Apoptosis,BAX,
proneural,Apoptosis,FADD,
proneural,Apoptosis,MAP2K1,
proneural,Apoptosis,ITPR1,
proneural,Apoptosis,CASP3,
proneural,Apoptosis,CFLAR,
proneural,Apoptosis,CASP2,
proneural,Apoptosis,CTSL,
proneural,Apoptosis,CTSB,
proneural,Apoptosis,CASP8,
proneural,Apoptosis,MAP3K5,
proneural,Apoptosis,LMNA,
proneural,Apoptosis,CTSS,
proneural,Apoptosis,MCL1,
proneural,Apoptosis,JUN,
proneural,Apoptosis,MAPK9,
proneural,Apoptosis,PRF1,
proneural,Apoptosis,IKBKB,
proneural,Apoptosis,ACTG1,
proneural,Apoptosis,AKT3,
proneural,Apoptosis,CTSZ,
proneural,Apoptosis,SPTA1,
proneural,Apoptosis,AIFM1,Complex I
proneural,Apoptosis,PDPK1,
proneural,Apoptosis,PIK3CB,
proneural,Apoptosis,TRADD,
proneural,Apoptosis,CAPN2,
proneural,Apoptosis,PARP4,
proneural,Autophagy,PTEN,
proneural,Autophagy,KRAS,
proneural,Autophagy,MAP2K1,
proneural,Autophagy,ITPR1,
proneural,Autophagy,PRKACA,
proneural,Autophagy,CFLAR,
proneural,Autophagy,ULK1,
proneural,Autophagy,CTSL,
proneural,Autophagy,CTSB,
proneural,Autophagy,PRKACB,
proneural,Autophagy,MAPK9,
proneural,Autophagy,AKT3,
proneural,Autophagy,PDPK1,
proneural,Autophagy,PIK3CB,
proneural,Autophagy,CAMKK2,
proneural,Autophagy,PRKAA2,
proneural,Autophagy,PRKCQ,
proneural,Autophagy,DAPK1,
proneural,Autophagy,RAB8A,
proneural,Autophagy,VAMP8,
proneural,Autophagy,DEPTOR,
proneural,Autophagy,RB1CC1,
proneural,Autophagy,RRAS,
proneural,Autophagy,MRAS,
proneural,Autophagy,VMP1,
proneural,Ferroptosis,HMOX1,
proneural,Ferroptosis,TP53,
proneural,Ferroptosis,CYBB,
proneural,Ferroptosis,PRNP,
proneural,Necroptosis,TNFRSF1A,
proneural,Necroptosis,RIPK3,
proneural,Necroptosis,PYCARD,
proneural,Necroptosis,STAT3,
proneural,Necroptosis,TNFRSF10B,
proneural,Necroptosis,BAX,
proneural,Necroptosis,TLR3,
proneural,Necroptosis,FADD,
proneural,Necroptosis,CFLAR,
proneural,Necroptosis,STAT5A,
proneural,Necroptosis,CASP8,
proneural,Necroptosis,CYBB,
proneural,Necroptosis,MAPK9,
proneural,Necroptosis,CASP1,
proneural,Necroptosis,CAMK2A,
proneural,Necroptosis,AIFM1,Complex I
proneural,Necroptosis,TRADD,
proneural,Necroptosis,CAPN2,
proneural,Necroptosis,CAMK2G,
proneural,Necroptosis,CAMK2B,
proneural,Necroptosis,TNFAIP3,
proneural,Necroptosis,STAT4,
proneural,Necroptosis,GLUD2,
proneural,Necroptosis,SPATA2,
proneural,Pyroptosis,TP53,
proneural,Pyroptosis,IL18,
proneural,Pyroptosis,BAX,
proneural,Pyroptosis,CASP3,
proneural,Pyroptosis,CASP4,
proneural,Pyroptosis,CASP1,
proneural,Pyroptosis,GSDMD,
