Pathway,Complex I,Complex II,Complex III,Complex IV,Complex V
Apoptosis,55,21,7,13,0
Autophagy,89,5,1,3,0
Ferroptosis,11,5,1,5,0
Necroptosis,27,9,5,5,0
Pyroptosis,14,5,0,4,0
