Pathway,Complex I,Complex II,Complex III,Complex IV,Complex V
Apoptosis,56,21,7,13,0
Autophagy,89,5,1,3,0
Ferroptosis,11,5,1,5,0
Necroptosis,29,9,5,5,0
Pyroptosis,14,5,0,4,0
