Pathway,Complex I,Complex II,Complex III,Complex IV,Complex V
Apoptosis,71,26,8,16,0
Autophagy,90,4,2,5,0
Ferroptosis,12,5,1,5,0
Necroptosis,62,21,13,20,0
Pyroptosis,16,5,0,4,0
