,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ATP5S,0.4732983756366806,0.0055588748011441,0.012692680132984,1.8964466644247664,Not Significant,-0.7325445835723192,0.0252662533511794,0.0456739097432633,1.3403318106560107,Not Significant
ATPAF1,-1.3524070606970042,2.4732833366795294e-05,0.0002146068590328,3.6683564016967294,Down,-1.497041461171724,0.0001472543934369,0.0008482407201357,3.0714808828952,Down
ATPAF2,0.2642856943447924,0.0662666637135259,0.100425081223951,0.9981578083381436,Not Significant,0.2245350161607923,0.2934684658876397,0.3597165875440934,0.4440395351790702,Not Significant
MT-ATP6,-0.74708236874676,0.1089194616905364,0.1539358385340157,0.8126602582347856,Not Significant,-1.8727689257805264,0.0001028234997449,0.0006538117341755,3.1845472892589,Down
MT-ATP8,-0.8662633454309585,0.0894714177502853,0.1300692910201045,0.8858252269954648,Not Significant,-1.067410282212111,0.0005022843821216,0.0020788253838551,2.682181988789288,Down
TMEM70,-0.4016888710336346,0.1643509813369326,0.2189752395170294,0.6596049899501282,Not Significant,-0.9620967807427308,0.0010617500357079,0.0036544362649424,2.437179608010451,Not Significant
