id	filename	md5	size	state
07726c6c-9f68-44fa-b995-17bfd544879f	07726c6c-9f68-44fa-b995-17bfd544879f/bdd09ddd-0307-407b-a83e-256932655994.rna_seq.augmented_star_gene_counts.tsv	7de14a0f0b46aea1183639d45c1a7918	4242686	validated
541607ce-6b3c-41ec-9c2e-d8f2aa7643d8	541607ce-6b3c-41ec-9c2e-d8f2aa7643d8/5b9e8a2b-ebe5-4caf-9144-ec6d3ea6c4cd.rna_seq.augmented_star_gene_counts.tsv	dcc93be037d32c26706367fae0ae5b92	4228695	validated
f6268534-44d0-4772-884c-cbb9d448e492	f6268534-44d0-4772-884c-cbb9d448e492/7e43cd55-3d6f-4fe8-bf9d-ab2dffc0d97d.rna_seq.augmented_star_gene_counts.tsv	79ef8f3485edc656bdbf4e74409a2abe	4222292	validated
7600efca-a763-4faf-841b-e06374be85dc	7600efca-a763-4faf-841b-e06374be85dc/47bca602-b2bb-4163-8b9e-a09614a86ec1.rna_seq.augmented_star_gene_counts.tsv	48174e5ab4c239bf736517686839a912	4242044	validated
f8bd7ad3-9e0a-4a73-a1d5-520a52c014d6	f8bd7ad3-9e0a-4a73-a1d5-520a52c014d6/59513d77-0829-482a-b400-786739b20d2f.rna_seq.augmented_star_gene_counts.tsv	064143fdd5529ad59dda830ef7e9368d	4239328	validated
bae71486-d5da-4ca3-8dfe-7d8015808ff9	bae71486-d5da-4ca3-8dfe-7d8015808ff9/f1543bac-5876-406f-9c2d-9e21399ece17.rna_seq.augmented_star_gene_counts.tsv	a0abea1fa35b5fc0cc4ef4d01894a74f	4233857	validated
9a661746-b532-4c45-936b-7ad557a1d6bf	9a661746-b532-4c45-936b-7ad557a1d6bf/bb77a730-1483-4764-906c-b67a65cd5398.rna_seq.augmented_star_gene_counts.tsv	1b66c89ca08d19eeff6e844073de71b2	4226429	validated
9d3ce188-45e1-472e-a2d8-68aa6dfcbcc4	9d3ce188-45e1-472e-a2d8-68aa6dfcbcc4/dc8f7dea-e281-4648-9487-e99b9a48d871.rna_seq.augmented_star_gene_counts.tsv	317e3bf85d4d3e082df112553d4eba3a	4238272	validated
e885b7eb-6e09-4b0d-bf8e-788d0c45178c	e885b7eb-6e09-4b0d-bf8e-788d0c45178c/db8e4fa4-97df-4b38-92eb-4c1a048e720e.rna_seq.augmented_star_gene_counts.tsv	be49025b5eda177c668437ef5b1f37d4	4236722	validated
5fbd8f83-c1ce-4ff5-9c98-c74eb6412484	5fbd8f83-c1ce-4ff5-9c98-c74eb6412484/166baf7b-6f56-4108-b9b2-191a623f6092.rna_seq.augmented_star_gene_counts.tsv	aae22dc695db6f3379643e4fddd14f4e	4245718	validated
