,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ATP5S,-0.0282200947501749,0.7482727971768843,0.7805032262124594,0.1076252974402917,Not Significant,-0.8306860050847564,7.402701069331095e-13,3.790197512575867e-12,11.42133815773991,Not Significant
ATPAF1,-1.1985348683971289,3.112427415248996e-08,1.3904476177923896e-07,6.856845367628464,Down,-1.4866070671504772,7.202535466089686e-19,2.117830273065749e-17,16.67410884801729,Down
ATPAF2,0.0359059377121191,0.7612018437848622,0.7922664918161693,0.1011287117713468,Not Significant,-0.159802959022849,0.0640658360574255,0.0790213636120088,1.1022554802979387,Not Significant
MT-ATP6,-1.500224760248326,0.0005890828994404,0.0010928952355364,2.9614214673358434,Down,-1.8765508669678264,3.6813337091155926e-10,1.2802874232604143e-09,8.892692520724612,Down
MT-ATP8,-1.6974858031164857,0.0012090881366987,0.0021234926584907,2.672949236148436,Down,-1.3824328603674416,3.892928747155801e-20,2.336145104052742e-18,17.631500185561237,Down
TMEM70,-0.3478188406402758,0.0745928102890088,0.0959458594039166,1.0179737627402057,Not Significant,-1.0198543760402912,2.190128635443837e-11,8.996467626809356e-11,10.045927978484888,Down
