,log2FC_rna,pvalue_rna,adjustedpvalue_rna,-log(adjustedp)_rna,category_rna,log2FC_prot,pvalue_prot,adjustedpvalue_prot,-log(adjustedp)_prot,category_prot
ATP5S,-0.0282200947501749,0.7482727971768843,0.7805032262124594,0.1076252974402917,Not Significant,-0.94042774248956,6.075500006301316e-13,3.390878260889564e-12,11.46968780195679,Not Significant
ATPAF1,-1.1985348683971289,3.112427415248996e-08,1.3904476177923896e-07,6.856845367628464,Down,-1.4820668564664523,2.030367805744013e-20,5.446932600512741e-19,18.26384799858523,Down
ATPAF2,0.0359059377121191,0.7612018437848622,0.7922664918161693,0.1011287117713468,Not Significant,-0.2068980507760599,0.0153534067101681,0.0211617598578045,1.674448218264815,Not Significant
MT-ATP6,-1.500224760248326,0.0005890828994404,0.0010928952355364,2.9614214673358434,Down,-1.962978896293188,5.490111721211102e-10,2.0978918100619075e-09,8.678216912474516,Down
MT-ATP8,-1.6974858031164857,0.0012090881366987,0.0021234926584907,2.672949236148436,Down,-1.3525885727865692,9.36701506696633e-21,2.834338948606178e-19,18.54754821523634,Down
TMEM70,-0.3478188406402758,0.0745928102890088,0.0959458594039166,1.0179737627402057,Not Significant,-0.9737422947750451,1.5864508653709146e-11,7.441805794342429e-11,10.12832166776597,Not Significant
