sample_id,condition,dataset
GTEX-12WSE-0011-R10b-SM-5P9JV,Normal,GTEx
GTEX-12WSF-0011-R10a-SM-5LZVH,Normal,GTEx
GTEX-12WSF-3126-SM-6M478,Normal,GTEx
GTEX-12WSH-0011-R10a-SM-5LZUS,Normal,GTEx
GTEX-12WSH-3026-SM-5CVNI,Normal,GTEx
GTEX-12WSM-0011-R10a-SM-5DUWV,Normal,GTEx
GTEX-12ZZW-0011-R10b-SM-5HL9X,Normal,GTEx
GTEX-12ZZW-2926-SM-5LZUP,Normal,GTEx
GTEX-12ZZX-0011-R10b-SM-5DUWK,Normal,GTEx
GTEX-12ZZX-2926-SM-5GCOQ,Normal,GTEx
GTEX-12ZZY-0011-R10b-SM-5HL7W,Normal,GTEx
GTEX-12ZZY-3026-SM-5GCOU,Normal,GTEx
GTEX-12ZZZ-0011-R10a-SM-5P9HC,Normal,GTEx
GTEX-12ZZZ-3026-SM-5BC67,Normal,GTEx
GTEX-1313W-0011-R10b-SM-5DUXA,Normal,GTEx
GTEX-1313W-3126-SM-5LZUI,Normal,GTEx
GTEX-131XH-0011-R10a-SM-5EGLJ,Normal,GTEx
GTEX-131XW-0011-R10a-SM-5DUVA,Normal,GTEx
GTEX-131XW-3126-SM-5LZUC,Normal,GTEx
GTEX-131YS-0011-R10b-SM-5EQ5N,Normal,GTEx
GTEX-131YS-3126-SM-5KLYT,Normal,GTEx
GTEX-132Q8-0011-R10b-SM-5DUWZ,Normal,GTEx
GTEX-132Q8-3026-SM-5PNVG,Normal,GTEx
GTEX-1399T-3026-SM-5KLZC,Normal,GTEx
GTEX-139T8-1026-SM-5J2MC,Normal,GTEx
GTEX-139TS-0011-R10a-SM-5K7TU,Normal,GTEx
GTEX-13CZV-0011-R10b-SM-5LZYD,Normal,GTEx
GTEX-13FHO-0011-R10b-SM-5J2MM,Normal,GTEx
GTEX-13FHO-3026-SM-5J1O9,Normal,GTEx
GTEX-13FHP-3026-SM-5IJBS,Normal,GTEx
GTEX-13FLV-0011-R10b-SM-5LZZ2,Normal,GTEx
GTEX-13FLW-0011-R10b-SM-5LZZF,Normal,GTEx
GTEX-13FLW-1426-SM-5K7YE,Normal,GTEx
GTEX-13FTZ-0011-R10b-SM-5KLZS,Normal,GTEx
GTEX-13FXS-0011-R10a-SM-5J2MA,Normal,GTEx
GTEX-13FXS-3126-SM-5J2NN,Normal,GTEx
GTEX-13G51-0011-R10b-SM-5LZYF,Normal,GTEx
GTEX-13G51-3026-SM-5IJB8,Normal,GTEx
GTEX-13IVO-0011-R10a-SM-5LZY3,Normal,GTEx
GTEX-13IVO-2926-SM-5L3CZ,Normal,GTEx
GTEX-13JUV-0011-R10b-SM-5LZXR,Normal,GTEx
GTEX-13JUV-2926-SM-5LZX7,Normal,GTEx
GTEX-13JVG-0011-R10b-SM-5KM2P,Normal,GTEx
GTEX-13JVG-3126-SM-5L3FH,Normal,GTEx
GTEX-13N1W-0011-R10b-SM-5MR4H,Normal,GTEx
GTEX-13N2G-0011-R10a-SM-5MR34,Normal,GTEx
GTEX-13NYB-0011-R10a-SM-5KM43,Normal,GTEx
GTEX-13NYB-3026-SM-5IJD7,Normal,GTEx
GTEX-13NYC-2826-SM-5K7WR,Normal,GTEx
GTEX-13NYS-0011-R10a-SM-5MR4S,Normal,GTEx
GTEX-13NYS-3126-SM-5KLYV,Normal,GTEx
GTEX-13NZA-0011-R10b-SM-5KM54,Normal,GTEx
GTEX-13O3O-0011-R10a-SM-5LUA9,Normal,GTEx
GTEX-13O3O-3126-SM-5KM3H,Normal,GTEx
GTEX-13O3Q-0011-R10b-SM-5KM39,Normal,GTEx
GTEX-13O3Q-2926-SM-5KM45,Normal,GTEx
GTEX-13OVH-3026-SM-5MR4N,Normal,GTEx
GTEX-13OVJ-0011-R10b-SM-5L3HT,Normal,GTEx
GTEX-13OVJ-2826-SM-5L3GW,Normal,GTEx
GTEX-13OVL-0011-R10a-SM-5L3GS,Normal,GTEx
GTEX-13OW6-0011-R10a-SM-5L3HE,Normal,GTEx
GTEX-13OW6-3026-SM-5J2MI,Normal,GTEx
GTEX-13OW7-0011-R10a-SM-5L3H3,Normal,GTEx
GTEX-13OW7-3026-SM-5L3GY,Normal,GTEx
GTEX-13OW8-0011-R10a-SM-5L3H6,Normal,GTEx
GTEX-13OW8-2826-SM-5L3GC,Normal,GTEx
GTEX-13PL6-3126-SM-5LUAR,Normal,GTEx
GTEX-13PVQ-3026-SM-5SI93,Normal,GTEx
GTEX-13QIC-0011-R10a-SM-5O9C7,Normal,GTEx
GTEX-13QIC-2926-SM-5J2NF,Normal,GTEx
GTEX-13QJC-0011-R10a-SM-5SI63,Normal,GTEx
GTEX-13RTJ-0011-R10b-SM-5O9CW,Normal,GTEx
GTEX-13S7M-0011-R10b-SM-5PNZB,Normal,GTEx
GTEX-13S7M-3126-SM-5RQJQ,Normal,GTEx
GTEX-13SLW-0011-R10a-SM-5S2UI,Normal,GTEx
GTEX-13SLX-0011-R10a-SM-5P9HV,Normal,GTEx
GTEX-13SLX-3126-SM-5S2Q5,Normal,GTEx
GTEX-13VXU-2926-SM-5LU5C,Normal,GTEx
GTEX-13X6I-0011-R10a-SM-5PNWI,Normal,GTEx
GTEX-13X6J-0011-R10b-SM-5PNWA,Normal,GTEx
GTEX-13X6J-3026-SM-5Q5CU,Normal,GTEx
GTEX-13X6K-0011-R10a-SM-5P9JR,Normal,GTEx
GTEX-13X6K-2926-SM-5Q5D5,Normal,GTEx
