sample_id,condition,dataset
GTEX-1QP6S-2926-SM-DTXF8,Normal,GTEx
GTEX-1R9K4-3126-SM-DTX9Y,Normal,GTEx
GTEX-1R9PO-2926-SM-EVYBR,Normal,GTEx
GTEX-1RQEC-2926-SM-EVR5A,Normal,GTEx
GTEX-N7MS-0011-R10A-SM-2HMJK,Normal,GTEx
GTEX-N7MT-0011-R10A-SM-2I3E1,Normal,GTEx
GTEX-N7MT-1126-SM-CYPQY,Normal,GTEx
GTEX-NL3H-0011-R10A-SM-2I3E9,Normal,GTEx
GTEX-NL4W-0011-R10A-SM-2I3DY,Normal,GTEx
GTEX-NPJ7-0011-R10A-SM-2I3E5,Normal,GTEx
GTEX-NPJ7-2726-SM-2I3FT,Normal,GTEx
GTEX-NPJ8-0011-R10A-SM-2YUMO,Normal,GTEx
GTEX-NPJ8-1526-SM-2D7VU,Normal,GTEx
GTEX-OHPN-0011-R10A-SM-33HBU,Normal,GTEx
GTEX-OHPN-2526-SM-2I5H3,Normal,GTEx
GTEX-OXRN-0011-R10A-SM-2I5GC,Normal,GTEx
GTEX-OXRN-2426-SM-2I5EQ,Normal,GTEx
GTEX-OXRO-0011-R10A-SM-2I5EH,Normal,GTEx
GTEX-P44G-0011-R10A-SM-2I3FF,Normal,GTEx
GTEX-P44G-2426-SM-2I5ER,Normal,GTEx
GTEX-P44H-0011-R10A-SM-2XCEK,Normal,GTEx
GTEX-PVOW-0011-R10A-SM-EXOHB,Normal,GTEx
GTEX-PVOW-2526-SM-2XCF7,Normal,GTEx
GTEX-PWO3-0926-SM-2I5EY,Normal,GTEx
GTEX-Q2AG-0011-R10A-SM-2HMLA,Normal,GTEx
GTEX-Q2AG-2926-SM-2HMJ3,Normal,GTEx
GTEX-QDT8-0011-R10A-SM-32PKG,Normal,GTEx
GTEX-QDT8-2926-SM-32PKC,Normal,GTEx
GTEX-QMR6-0011-R10A-SM-32PKO,Normal,GTEx
GTEX-QMR6-1426-SM-32PLA,Normal,GTEx
GTEX-QVJO-0011-R10A-SM-2S1QJ,Normal,GTEx
GTEX-QVJO-1426-SM-2S1QY,Normal,GTEx
GTEX-QVUS-0011-R10A-SM-3GIK3,Normal,GTEx
GTEX-QVUS-2826-SM-3GADB,Normal,GTEx
GTEX-RNOR-2326-SM-2TF4I,Normal,GTEx
GTEX-RU72-3026-SM-CYPRV,Normal,GTEx
GTEX-S7SE-0011-R10A-SM-2XCDF,Normal,GTEx
GTEX-T2IS-3026-SM-32QPM,Normal,GTEx
GTEX-T5JC-0011-R10A-SM-32PM2,Normal,GTEx
GTEX-T5JC-2426-SM-3NMDB,Normal,GTEx
GTEX-T6MN-0011-R10A-SM-32QP7,Normal,GTEx
GTEX-T6MN-2626-SM-32PMQ,Normal,GTEx
GTEX-TSE9-0011-R10A-SM-3DB7O,Normal,GTEx
GTEX-TSE9-3026-SM-3DB76,Normal,GTEx
GTEX-UTHO-0011-R10A-SM-3GIJQ,Normal,GTEx
GTEX-UTHO-3026-SM-3GAFB,Normal,GTEx
GTEX-WHSE-0011-R10A-SM-EYYVG,Normal,GTEx
GTEX-WHSE-3026-SM-3P5ZH,Normal,GTEx
GTEX-WL46-0011-R10A-SM-3MJFQ,Normal,GTEx
GTEX-WL46-2926-SM-3LK82,Normal,GTEx
GTEX-WVLH-0011-R10A-SM-3MJFM,Normal,GTEx
GTEX-WVLH-3026-SM-3MJG9,Normal,GTEx
GTEX-WWYW-0011-R10A-SM-3NB35,Normal,GTEx
GTEX-WWYW-3126-SM-3NB39,Normal,GTEx
GTEX-WZTO-0011-R10B-SM-4E3KB,Normal,GTEx
GTEX-WZTO-2926-SM-3NM9I,Normal,GTEx
GTEX-X261-0011-R10B-SM-4E3JT,Normal,GTEx
GTEX-X4EP-0011-R10B-SM-4QASJ,Normal,GTEx
GTEX-X4XX-0011-R10B-SM-46MWO,Normal,GTEx
GTEX-X4XX-3026-SM-3NMB2,Normal,GTEx
GTEX-X4XY-0011-R10B-SM-46MWS,Normal,GTEx
GTEX-X4XY-3026-SM-EWRM9,Normal,GTEx
GTEX-X585-0011-R10A-SM-46MUY,Normal,GTEx
GTEX-X585-3026-SM-46MWF,Normal,GTEx
GTEX-XLM4-0011-R10A-SM-4AT5P,Normal,GTEx
GTEX-XLM4-3026-SM-4AT6L,Normal,GTEx
GTEX-XMD1-0011-R10A-SM-4AT4A,Normal,GTEx
GTEX-Y111-2726-SM-4TT3N,Normal,GTEx
GTEX-Y8DK-0011-R10A-SM-4SOK1,Normal,GTEx
GTEX-Y8DK-0826-SM-4TT3T,Normal,GTEx
GTEX-YFC4-0011-R10a-SM-4SOK5,Normal,GTEx
GTEX-YFC4-3126-SM-5PNV6,Normal,GTEx
GTEX-YJ89-0011-R10a-SM-4SOK9,Normal,GTEx
GTEX-YJ89-3026-SM-5IFJI,Normal,GTEx
GTEX-Z93S-0011-R10a-SM-4RGNM,Normal,GTEx
GTEX-Z93S-2926-SM-57WB9,Normal,GTEx
GTEX-ZAB4-0011-R10a-SM-4SOKH,Normal,GTEx
GTEX-ZAJG-3126-SM-5HL9J,Normal,GTEx
GTEX-ZAK1-3026-SM-5S2MJ,Normal,GTEx
GTEX-ZDXO-0011-R10a-SM-4WWD8,Normal,GTEx
GTEX-ZDXO-2126-SM-4WKFI,Normal,GTEx
GTEX-ZE7O-0011-R10a-SM-57WAZ,Normal,GTEx
GTEX-ZE7O-3126-SM-5HL5X,Normal,GTEx
GTEX-ZE9C-3026-SM-4WKHB,Normal,GTEx
GTEX-ZF28-0011-R10a-SM-4WWEH,Normal,GTEx
GTEX-ZF28-3026-SM-4WKHP,Normal,GTEx
GTEX-ZUA1-0011-R10a-SM-51MT6,Normal,GTEx
GTEX-ZUA1-3026-SM-59HJC,Normal,GTEx
GTEX-ZV68-0011-R10a-SM-51MT7,Normal,GTEx
GTEX-ZVT3-0011-R10b-SM-57WB6,Normal,GTEx
GTEX-ZVT3-3026-SM-5E43N,Normal,GTEx
GTEX-ZVZQ-0011-R10b-SM-51MRT,Normal,GTEx
GTEX-ZXG5-0011-R10a-SM-57WDD,Normal,GTEx
GTEX-ZYFD-3026-SM-5E44C,Normal,GTEx
GTEX-ZYY3-3126-SM-5SI9L,Normal,GTEx
GTEX-ZZPT-3026-SM-5GZXH,Normal,GTEx
